country_code,country_name,required_documents,restricted_items,prohibited_items,value_threshold,special_requirements
US,United States,"Commercial Invoice, Packing List, Customs Declaration","2208.30 (Whiskies), 9018.90 (Medical instruments and appliances)",2939.91 (Unknown),2500,"Electronic Export Information (EEI) required for shipments over $2,500"
CA,Canada,"Commercial Invoice, Packing List, Customs Declaration",2208.30 (Whiskies),0301.93 (Unknown),2000,"Canada Customs Invoice for commercial shipments over $2,000"
GB,United Kingdom,"Commercial Invoice, Packing List, Customs Declaration","2208.30 (Whiskies), 9018.90 (Medical instruments and appliances)",0302.81 (Unknown),1500,Commercial invoice and Certificate of Origin required
FR,France,"Commercial Invoice, Packing List, Customs Declaration","2208.30 (Whiskies), 9018.90 (Medical instruments and appliances)",0301.93 (Unknown),1000,EU declaration of conformity for electronic products
DE,Germany,"Commercial Invoice, Packing List, Customs Declaration","2208.30 (Whiskies), 9018.90 (Medical instruments and appliances)",0301.93 (Unknown),1000,EU declaration of conformity for electronic products
JP,Japan,"Commercial Invoice, Packing List, Customs Declaration","2208.30 (Whiskies), 0901.21 (Coffee, roasted, not decaffeinated)",0301.93 (Unknown),200000,Import Declaration Form (Customs Form C-5020) required
AU,Australia,"Commercial Invoice, Packing List, Customs Declaration","2208.30 (Whiskies), 0901.21 (Coffee, roasted, not decaffeinated)",0301.93 (Unknown),1000,"Self-assessed clearance declaration for goods valued under AUD 1,000"
CN,China,"Commercial Invoice, Packing List, Customs Declaration","9018.90 (Medical instruments and appliances), 8471.30 (Portable automatic data processing machines, weighing not more than 10 kg), 8443.31 (Machines which perform two or more of the functions of printing, copying or facsimile transmission)","2939.91 (Unknown), 0301.93 (Unknown)",5000,China Compulsory Certification (CCC) for electronics
AE,United Arab Emirates,"Commercial Invoice, Packing List, Customs Declaration","2208.30 (Whiskies), 9018.90 (Medical instruments and appliances)","2204.21 (Wine of fresh grapes, in containers holding 2 liters or less)",1000,Certificate of Origin required for all shipments
BR,Brazil,"Commercial Invoice, Packing List, Customs Declaration","9018.90 (Medical instruments and appliances), 8471.30 (Portable automatic data processing machines, weighing not more than 10 kg)",0301.93 (Unknown),3000,Portuguese label required for consumer goods
